movie_id,revnue_id,domestic_box_office,international_box_office,worldwide_box_office,opening_weekend
M75,R75,"$54,513,740 ","$106,943,006 ","$161,456,746 ","$322,168 "
M76,R76,"$321,910 ","$99,494 ","$421,404 ","$227,354 "
M77,R77,"$54,767,494 ","$60,330,380 ","$115,097,874 ","$16,890,204 "
M78,R78,"$270,834,950 ","$242,702,228 ","$513,537,178 ","$67,572,855 "
M79,R79,"$21,704,844 ","$17,473,345 ","$39,178,189 ","$10,202,108 "
M80,R80,"$104,029,443 ","$71,777,740 ","$175,807,183 ","$29,651,193 "
M81,R81,"$31,713,110 ","$876,383 ","$32,589,493 ","$13,743,111 "
M82,R82,"$13,960,394 ","$22,628,118 ","$36,588,512 ","$278,715 "
M83,R83,"$4,799,774 ","$4,571,262 ","$9,371,036 ","$2,534,884 "
M84,R84,"$27,099 ","$21,440 ","$48,539 ","$8,908 "
M85,R85,"$102,826,543 ","$248,940,604 ","$351,767,147 ","$28,681,472 "
M86,R86,"$2,468,683 ","$38,498 ","$2,507,181 ","$1,110,565 "
M87,R87,"$48,958,273 ","$29,986,725 ","$78,944,998 ","$364,437 "
M88,R88,"$151,101,803 ","$290,788,276 ","$441,890,079 ","$881,104 "
M89,R89,"$6,788,692 ","$5,073,958 ","$11,862,650 ","$207,057 "
M90,R90,"$30,353,973 ","$50,855,249 ","$81,209,222 ","$13,688,751 "
M91,R91,"$2,141,423 ","$8,586,113 ","$10,727,536 ","$69,335 "
M92,R92,"$3,500,605 ","$4,267,654 ","$7,768,259 ","$59,797 "
M93,R93,"$54,858,851 ","$115,165,449 ","$170,024,300 ","$20,352,491 "
M94,R94,"$51,739,495 ","$97,378,405 ","$149,117,900 ","$123,360 "
M95,R95,"$12,786,053 ","$11,617,139 ","$24,403,192 ","$3,404,102 "
M96,R96,"$72,110,659 ","$55,599,891 ","$127,710,550 ","$16,759,161 "
M97,R97,"$270,329,045 ","$360,735,137 ","$631,064,182 ","$35,258,145 "
M98,R98,"$3,652,206 ","$219,242 ","$3,871,448 ","$1,589,625 "
M99,R99,"$17,782,176 ","$5,562,937 ","$23,345,113 ","$6,176,680 "
M100,R100,"$1,305,195 ","$2,499,782 ","$3,804,977 ","$79,175 "
M101,R101,"$40,098,064 ","$79,168,597 ","$119,266,661 ","$12,701,743 "
M102,R102,"$3,511,417 ","$78,216 ","$3,589,633 ","$1,503,101 "
M103,R103,"$9,479,390 ","$505,926 ","$9,985,316 ","$3,817,700 "
M104,R104,"$7,233,471 ","$7,838 ","$7,241,309 ","$1,729,535 "
M105,R105,"$165,203 ","$788,111 ","$953,314 ","$12,588 "
M106,R106,"$216,303,339 ","$670,614,987 ","$886,918,326 ","$51,061,119 "
M107,R107,"$3,190 ","$584,564 ","$587,754 ","$1,691 "
M108,R108,"$4,046,429 ","$4,990,998 ","$9,037,427 ","$2,375,325 "
M109,R109,"$38,052,832 ","$66,170,483 ","$104,223,315 ","$16,640,452 "
