movie_id,movie_title,production_budget
M145,The Florida Project,"$2,000,000 "
M146,Moonlight,"$1,500,000 "
M147,Venom,"$116,000,000 "
M148,My Little Pony: The Movie,"$6,500,000 "
M149,Jane Got a Gun,"$25,000,000 "
M150,Snowden,"$50,000,000 "
M151,The Old Man and the Gun,"$15,800,000 "
M152,The Hateful Eight,"$62,000,000 "
M153,Daddyâ€™s Home,"$50,000,000 "
M154,Yip Man 3,"$36,000,000 "
M155,Concussion,"$35,000,000 "
M156,Joy,"$60,000,000 "
M157,Ouija: Origin of Evil,"$9,000,000 "
M158,Keeping Up with the Joneses,"$40,000,000 "
M159,Jack Reacher: Never Go Back,"$60,000,000 "
M160,Sisters,"$30,000,000 "
M161,Hell Fest,"$5,500,000 "
M162,Bad Times at the El Royale,"$32,000,000 "
M163,Night School,"$29,000,000 "
M164,The Foreigner,"$35,000,000 "
M165,Alvin and the Chipmunks: The Road Chip,"$90,000,000 "
M166,The Ghouls,"$37,000,000 "
M167,Max Steel,"$10,000,000 "
M168,Smallfoot,"$80,000,000 "
M169,The Sisters Brothers,"$38,000,000 "
M170,Blade Runner 2049,"$185,000,000 "
M171,Trolls,"$125,000,000 "
M172,Flatliners,"$20,000,000 "
M173,The Big Short,"$28,000,000 "
M174,The Accountant,"$40,000,000 "
M175,Fahrenheit 11/9,"$5,000,000 "
M176,Stronger,"$30,000,000 "
M177,A Monster Calls,"$43,000,000 "
M178,Assassination Nation,"$7,000,000 "
M179,London Fields,"$8,000,000 "
M180,The House with a Clock in its Walls,"$40,000,000 "
M181,Middle School: The Worst Years of My Life,"$8,500,000 "
M182,White Boy Rick,"$30,000,000 "
M183,Borg vs McEnroe,"$7,500,000 "
M184,Battle of the Sexes,"$25,000,000 "
M185,Kingsman: The Golden Circle,"$104,000,000 "
M186,Chi-raq,"$15,000,000 "
M187,Under sandet,"$6,000,000 "
M188,The Birth of a Nation,"$10,000,000 "
M189,Mandy,"$6,000,000 "
M190,Krampus,"$15,000,000 "
M191,Inferno,"$75,000,000 "
M192,The Girl on the Train,"$45,000,000 "
M193,mother!,"$30,000,000 "
M194,The Lego Ninjago Movie,"$70,000,000 "
M195,In the Heart of the Sea,"$100,000,000 "
M196,Johnny English Strikes Again,"$30,000,000 "
M197,The Predator,"$88,000,000 "
M198,A Simple Favor,"$20,000,000 "
M199,Victor Frankenstein,"$40,000,000 "
M200,Creed,"$37,000,000 "
M201,The Good Dinosaur,"$187,500,000 "
